,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.8454810495626822,0.90625,0.8748114630467572,320.0
Tomato___Early_blight,0.6695652173913044,0.5133333333333333,0.5811320754716981,150.0
Tomato___Late_blight,0.7031700288184438,0.8531468531468531,0.7709320695102686,286.0
Tomato___Leaf_Mold,0.8188976377952756,0.7222222222222222,0.7675276752767528,144.0
Tomato___Septoria_leaf_spot,0.9602649006622517,0.5430711610486891,0.69377990430622,267.0
Tomato___Spider_mites Two-spotted_spider_mite,0.6818181818181818,0.7738095238095238,0.724907063197026,252.0
Tomato___Target_Spot,0.6525821596244131,0.6556603773584906,0.6541176470588236,212.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8252826310380267,0.9975155279503105,0.9032620922384702,805.0
Tomato___Tomato_mosaic_virus,0.7222222222222222,0.6842105263157895,0.7027027027027027,57.0
Tomato___healthy,0.967741935483871,0.5,0.6593406593406593,240.0
accuracy,0.7888766922795463,0.7888766922795463,0.7888766922795463,0.7888766922795463
macro avg,0.7847025964416673,0.7149219525185212,0.7332513352149379,2733.0
weighted avg,0.8029089586012201,0.7888766922795463,0.7794111191786202,2733.0
